state,date,year,month,observed,observed_imp,popn,tas,RH
NSW,2017-08-01,2017,8,43848,43848,7884752.0,11.258367807167732,58.39543578964968
NSW,2017-09-01,2017,9,33126,33126,7884752.0,15.10428146464548,47.93998237182478
NSW,2017-10-01,2017,10,3663,3663,7900946.0,17.845753030199493,67.33605196444188
NSW,2017-11-01,2017,11,625,625,7900946.0,18.387577246705643,69.06940538007677
NSW,2017-12-01,2017,12,506,506,7900946.0,22.59150456790378,65.63122949933096
NSW,2018-01-01,2018,1,1108,1108,7934688.0,23.538132865607352,62.00352127725544
NSW,2018-02-01,2018,2,1175,1175,7934688.0,22.15457973268332,64.00582385012898
NSW,2018-03-01,2018,3,1030,1030,7934688.0,20.70208799395631,69.28514972217017
NSW,2018-04-01,2018,4,433,433,7954476.0,19.10538629915636,67.18504767815925
NSW,2018-05-01,2018,5,393,393,7954476.0,13.477545054118496,65.37667121774676
NSW,2018-06-01,2018,6,676,676,7954476.0,10.623987737564452,74.8414933827827
NSW,2018-07-01,2018,7,1334,1334,7984525.0,10.55009441339487,59.1974633405216
NSW,2018-08-01,2018,8,3997,3997,7984525.0,11.16076238134094,57.20374089153596
NSW,2018-09-01,2018,9,3979,3979,7984525.0,13.750668791721235,62.95286952812977
NSW,2018-10-01,2018,10,1373,1373,8003564.0,16.879483638754536,72.16029344389251
NSW,2018-11-01,2018,11,1018,1018,8003564.0,19.26968357688905,61.62876444125165
NSW,2018-12-01,2018,12,950,950,8003564.0,22.493109467646537,64.22067785180191
NSW,2019-01-01,2019,1,1767,1767,8032991.0,25.39884028617553,67.4802079907259
NSW,2019-02-01,2019,2,2303,2303,8032991.0,22.17450498744345,65.04038920003536
NSW,2019-03-01,2019,3,3484,3484,8032991.0,20.85440540926567,70.40520306515943
NSW,2019-04-01,2019,4,3030,3030,8046748.0,17.757004171774117,71.06897982852487
NSW,2019-05-01,2019,5,8653,8653,8046748.0,13.844138695711028,67.52305158358101
NSW,2019-06-01,2019,6,22621,22621,8046748.0,11.19836769530468,75.4889144199112
NSW,2019-07-01,2019,7,29202,29202,8071350.0,11.076799165294537,66.34639156911476
NSW,2019-08-01,2019,8,29472,29472,8071350.0,11.260185604071202,59.730770665537975
NSW,2019-09-01,2019,9,11010,11010,8071350.0,14.485836004821527,59.24313044481986
NSW,2019-10-01,2019,10,2287,2287,8088361.0,17.797172914605333,56.23900811002304
NSW,2019-11-01,2019,11,1421,1421,8088361.0,20.52029448032059,50.82212354515914
NSW,2019-12-01,2019,12,1163,1163,8088361.0,22.79525369087044,53.71486163661235
NSW,2022-01-01,2022,1,12,12,8137688.0,22.08713888859088,76.80653507839561
NSW,2022-02-01,2022,2,21,21,8137688.0,20.644360336700203,74.82707220576368
NSW,2022-03-01,2022,3,270,270,8137688.0,19.38405000418468,80.42532705624113
NSW,2022-04-01,2022,4,3067,3067,8166704.0,16.900456361101348,78.49585980627424
NSW,2022-05-01,2022,5,24641,24641,8166704.0,13.700182602157549,79.59029327608366
NSW,2022-06-01,2022,6,64238,64238,8166704.0,9.841162251634122,72.9128288230422
NSW,2022-07-01,2022,7,18496,18496,8208590.0,10.25453766299196,77.02501338304323
NSW,2022-08-01,2022,8,2108,2108,8208590.0,11.656994203862329,72.46845351144822
NSW,2022-09-01,2022,9,660,660,8208590.0,13.30824827713466,73.49060681994186
NSW,2022-10-01,2022,10,517,517,8249295.0,16.109582195917106,74.86598265222783
